Freshness,Review
fresh," Uma ótima releitura da série de tevê, o filme traz Carell em momento inspiradíssimo."
rotten," While it almost takes on a campy air, distasteful subject matter prevents it from being little more than exploitative nonsense."
fresh," It re-creates the mood of an era, a nation's frustration and anger, all while rollicking along with a crackling adventure."
rotten," England and France in the 13th century, a time of injustice and mud. It's the same message one can garner about feudal society from MONTY PYTHON AND THE HOLY GRAIL in less time and with a great deal more entertainment value."
fresh," Perhaps the reason for the film's acceptance in rock 'n roll 'insider' circles is its ultimately affectionate vibe. Reiner obviously loves his leather-jacketed bunch, even as they walk into one land mine after another."
fresh," the film's overall effect is undeniable, not only on the history of cinema as a whole, but in each new viewing that reveals another dimension or additional detail, the sum total of which is one of the true cinematic masterpieces"
rotten, This mash-up is just a big old mess-up. 
fresh," The film has an alluring lexicon of moods: luminous, glossy, animalistic, pastoral. If not for the trail of corpses left behind, this might be reminiscent of other dreamy European coming-of-age narratives."
rotten," By mid-film, American Pastoral has all the anticipation of watching water circling around a drain that quickly disappears."
rotten, An Eastern movie made to resemble the most unchallenging Western ideal of what the East is.
fresh, Both grimly funny and thought-provoking.
fresh, Joaquin Phoenix gives another incredible performance in this excellent new film from Gus Van Sant. The actor is a true chameleon and always believable.
fresh," A worthy, overdue tribute to a group of intrepid, World War II heroes who never let their second-class status diminish their patriotism even one iota. "
fresh," As rich, fulfilling and complex as a traditional Indian meal."
rotten, Amazing that Ang Lee can make such a listless movie about arguably one of the most high energy times in recent history.
fresh," This is a good-looking film, and Jackson is just so much fun to watch. The other horror films that are out there? This one's a slither above them all."
fresh," All three stars deliver exactly what you expect from them -- nothing more, nothing new -- but their onscreen familiarity is a strange comfort in itself."
fresh, The art of living in defiance of goodbye
rotten, Watchable but empty
rotten," Packs an emotional punch, but that only partly makes up for the lack of a good story"
fresh, Some documentaries are designed to give information. Winged Migration provides pure sensation -- and it's sensational.
fresh," Original and idiosyncratic, it's a quirky glimpse of imaginative innocence."
rotten, Feels almost unbearably cruel and cynical. 
fresh," A solid filmmaker who delivers nearly flawless pictures, Clint Eastwood is in fine form with Million Dollar Baby."
fresh, It's also a fairly entertaining children's story. But for kids? Let's say it's a film for Wes Anderson.
rotten, Perhaps you'll be too distracted by the industrial-chic office space to notice that laughs are in short supply. 
fresh," The joy of Intolerable Cruelty is in watching Clooney deconstruct his suave screen persona, that mix of Cary Grant cool and Dean Martin hip, in front of your very eyes."
rotten," This is a negative five. This is probably the worst movie of the year...it's so bad, halfway through the movie, I wondered if I was in a Jacob's Ladder scenario..."
rotten," Leaving aside the galloping misogyny, 'Rock the Kasbah' just isn't remotely funny or smart."
rotten," Sorority Row proves to be just another crass slasher movie, recycling familiar ingredients to diminishing effect."
fresh, Diane Lane and John Cusack have such terrific chemistry together in the genial romantic comedy Must Love Dogs that it's a wonder these two veteran performers have never been teamed before.
fresh," It may not be the most realistic portrayal of drug addiction ever produced, but it's certainly worth seeing - if for nothing else than Downey's superlative performance."
fresh," Absurd and stupid but fabulously entertaining, crafted with steadfast commitment to seeing that stupidity through to its conclusion."
rotten, Nearly everything about this film is a cliché.
rotten," The whole world loves these characters, and so much time, effort and money has been hurled at this property. But the story in Justice League is practically non-existent -- and, even more insulting, the big Hollywood special effects look like garbage."
fresh, Elstree 1976 serves as a relevant Star Wars companion for fans big and small.
fresh, ...a serviceable and nostalgic coming-of-age kiddie comedy that resonates...has enough heart and soul to capture the giddy delight of its festive confines.
rotten," Filmmakers have to dig deep to sink this low. Fortunately for all involved, this movie is likely to disappear as quickly as an ice cube thrown into a pot of boiling water."
fresh," From first shot to last, the Coens seldom miss an opportunity to suggest that theirs is a movie made by evolutionarily advanced life-forms touring a primitive planet."
rotten, The end result still gives every appearance of the film having been made up as they went along.
fresh," Draggy, but compelling, if you've read the book."
rotten," While the violent sequences are very effectively staged, the results are a strange hybrid that doesn't quite work."
rotten, The second half of Grown Ups isn't good enough to dig its way out of the tremendous hole it's created for itself but it's far from the worse thing Sandler has ever made. Maybe in another 20 years he'll make something funny.
rotten," It's not that ""Runner Runner"" is predictable. It's that you don't care, either about the characters or what happens to them."
rotten, Took a premise rife with potential and created perhaps the most boring story possible to accomodate the two sci-fi races.
fresh, Karloff manages to invest the character with some subtleties of emotion that are surprisingly real and touching.
fresh," For those who have the patience to become absorbed in this kind of drama, Vera Drake offers a stunningly real character portrait whose image will linger long after the movie has faded."
rotten," Meirelles has crafted a lurid, even hysterically visual, but dramatically trite and obvious approximation of whatever was intended by Saramago."
rotten," There is a lot to be said about the futility of war, and now Dutta has made his case for the futility of the war movie."
fresh, Visually witty and even marvelous when it comes to depicting the spectacular creatures.
rotten," Any momentum is swallowed up by its failed attempts at being smarter than everyone in the room, which isn't exactly a good way to keep an audience invested."
fresh," Good action sequences will satisfy the adrenaline junkies and lots of throwbacks to Terminator films of yore will make the Terminator fans happy. There are actually parts of a good movie in here, but the focus is in the wrong place."
rotten," ""Sex and the City"" fashion porn married to The Princess Diaries 'tween ugly-duckling uplift."
fresh," This has more bite than we've come to expect from Sam Raimi's Ghost House production outfit. Some of the action misses the jugular, but Danny Huston makes for a sensational baddie."
rotten," Indeed, the darknesses pile up on one another with such an alarming rate (Murders! Strokes! Secrets!), the tone of the entire film shifts from one of illicit sexual naughtiness to downright death-obsessed Gothic melodrama."
fresh," This sequel turns out to be a comedy of manners, of all things, and an agreeable one, a movie that will get you laughing and suck you in."
fresh, Leaves you cheering as you dab your eyes with a Kleenex.
fresh, ...give[s] you some sense of what it must have been like a literary/journalistic star in the 1960s. 
rotten," There is a good movie inside of Batman v Superman, which makes it all the more frustrating that the stuff the movie gets wrong, it gets really wrong."
fresh, A movie with an impressive photography surrounding an epic drama. [Full review in Spanish]
rotten," If you relish the sight of a healthy male body being systematically demolished, beyond the farthest reach of plausible endurance, The Passion of the Christ is your movie."
fresh," A superior work of confrontational boldness, it might be the movie Oppenheimer wanted to make in the first place."
rotten," There's plenty of talk about American Sins in American Assassin, but none of it changes the fact that the bad guys want to do bad things and must be stopped, so there really isn't much point to all that chatter."
fresh," Anderson is at the middle of point of his life, considering the uncertainty of the world."
fresh," Not the best Bond, but not the worst either."
fresh," This Internet-promoted lark about a Hawaii-to-L.A. flight besieged by a frenzied tangle of snakes is hilariously funny, full of fang-popping scares, and guaranteed to increase travel by train."
rotten," Dull and programmatic in equal measure, The Ones Below seeks to thrill with its Polanski-tinged pregnancy drama but mostly ends up insulting its audience's intelligence with an obvious endgame and cheap stabs at paranoid dread."
rotten," The dialogue is sci-fi standard-issue, composer Marco Beltrami shamelessly cribs from Bernard Herrmann, and wispy Rose Byrne barely registers as Cage's ally."
fresh, The Coen's survey of American mythology hits every note.
rotten," It is at all times mysteriously, transcendentally boring."
rotten, Third in 'Hotel Transylvania' franchise is a better-than-average stay.
fresh," The film captivates with its inspired triumphs, sweet romance and utterly heartbreaking tragedy. "
fresh," A visually and aurally stunning film that brings viewers up close and very personal with several ""big cat"" families - as well as a dazzling array of other safari-esque species - living in Kenya's sprawling Masai Mara National Reserve."
rotten, Go in with low expectations.
fresh," There's something indomitable about her will to perform, and insecurity has been part of her experience for decades, it's clear."
rotten," Higher Ground is a weird film with some very nice moments, but its odd and offbeat combination of comic touches, serious spiritual subject matter and occasional surrealist interludes never quiet gels."
rotten," Not boring, exactly, but undeniably tedious."
fresh," The perfect blend of black humor, The Death of Stalin has a very real message about the political world today. "
fresh," Unfortunately, the movie falls short of an ""A"" grade because director James Mangold and his co-writer Gil Dennis don't make you understand what Carter sees in Cash."
fresh," Not just one of the more entertaining Marvel movies - infinitely better than Joss Whedon's overstuffed Avengers: Age of Ultron - but a genuinely fun and clever deconstruction of the genre, too."
rotten," Bake a 'Men In Black' pie; throw in some 'Ghostbusters,' 'This Is the End,' 'True Grit,' and 'Weeds,' drain the fun out, and you get the half-baked, derivative 'R.I.P.D.'"
rotten, Those expecting the exuberance of an Erin Brockovich from the same producers will be disappointed. Extraordinary Measures is sensitive and dull.
fresh, The Long Kiss Goodnight is a surprisingly witty action-comedy.
rotten," Other than its campy title, not much about Abraham Lincoln: Vampire Hunter is fun."
fresh," Casting Isaac... is Chandor's masterstroke. This is a star-making performance: self-assured and light on its feet. In a fairer world, Abel Morales would be sharing espresso and a cannolli with Michael Corleone."
rotten, An all-round flimsy scripts undermines what was at one point this year one of the most anticipated sci-fi films of 2016.
fresh, An engaging comedy drama lifted by two revelatory performances. Wiig in particular suggests an Academy Award-winner-in-waiting.
rotten," Looking For Eric is not so much a game of two halves as a chaotic kickabout, in which the rules of the game keep changing. It will score with some people but, I confess, I was looking for more."
rotten, When was it decided superhero movies shouldn't be any fun?
rotten," Wayne Blair and Jessica Sharzer's remake attempts to be all things to all people, and ends up being nothing to anybody."
rotten, That I consider Apocalypto to be Gibson's best film as a director really isn't such high praise when you consider the fact that I hated his last two movies and have only dim memories of his first.
fresh," Raw, and real, and profoundly, indelibly moving."
rotten, 'Hook' and 'Finding Neverland' at least seemed to know what Peter Pan was about. 'Pan' feels like Any Blockbuster remade as Peter Pan. 
rotten," Nothing's particularly risky or original, but neither is anything all that repulsive."
rotten," Clearly, this movie is designed to sell action figures rather than make sense."
rotten, We are strictly going through the motions here folks
fresh," The closing images-of a self-annihilating, all-consuming passion that will be preserved for centuries-[obliterate] the line between the ridiculous and the sublime."
fresh," Not all the scenes are necessary, and a great deal of the movie is set-up, with Jackson reveling in his own return to Middle Earth. But it's an enjoyable experience."
fresh, Darkly comic culture clash wish-fulfillment fantasy that turns from twee to ugly realism in a heartbeat. 
fresh, Chicago's so engrossing that you even forget to reach out for the Coke n' popcorn. Now isn't that entertainment!
rotten, An explicit shot of a penguin doing its business on a man's face [is] an apt metaphor for what the movie has to offer family audiences.
rotten," This is a grating, sometimes very violent comedy-thriller that suffers from a chronic identity crisis. The film can't work out whether it's a slacker romance or an all-action spy movie in the Manchurian Candidate mode."
fresh," It's about the gradual wakening into awareness, the graduation from carefree youth to responsible adulthood."
rotten," Just as Broomfield's latest points a harsh light on those who profited from her death, so too does he stray into their territory, giving a broken woman one final humiliation."
rotten, The Man Who Killed Hitler and Then the Bigfoot is lacking in one area that proves to be quite detrimental for a film with such an outlandish title - it's just not fun.
fresh," As both a valentine to new love and Hong Kong's Cantonese cosmopolitanism, it's a breezily enjoyable and heartfelt travelogue."
fresh," The fight scenes between Blade and the vampires are some of the best-choreographed in recent memory, this side of Hong Kong."
fresh," Dawn of the Dead is ultra-violent, excessively bloody, and extremely gory - all in a good way. I left the theater feeling pumped full of adrenaline."
rotten," Any dolt could fill a movie with sickening stuff, and there's nothing scary, funny or interesting about what Cronenberg has done. It is just tedious and insulting. Get the swatter."
fresh," At moments, under burnished yet offhanded light, ""The Rover"" is literary machismo of a high order. And at others? We're watching Michelangelo Antonioni's ""Mad Max."" (This is not a bad thing.) "
fresh, Yakin executes the touching material with the expected serviceability.
fresh, I was held by Depp's transformation from white-man non-entity to the Jarmusch version of the affectless Man With No Name.
rotten," The leads are appealing, the material familiar -- it adds a Front Page romantic angle to The Devil Wears Prada, and reworks ideas from Green Card."
rotten, The pacing is so slow and the religious undertones so heavy that only Jesus himself could rise above the draining weight.
fresh, A rare film when the random elements of filmmaking align in a formula equaling near-greatness.
rotten," One of the least convincing, most manipulative films ever made about the everyday struggles of the developmentally disabled."
rotten," [Harris is] the one good thing in ""Natural Selection."""
rotten, Lucky You undoes what Rounders did right.
fresh," Its strangeness and repetition may turn some away, but on both a technical and thematic level, it is a work to be celebrated."
fresh, Star Trek is the first great blockbuster of the year and is undoubtedly a bona fide masterpiece in the family genre.
rotten, Nina teaches us an important lesson about waiting for a film to come out before criticizing it. For it is only then that we can know how truly heinous it is.
fresh, Elle makes a strong case for the actress as auteur. 
fresh, An exercise in briny Welsh Weltzschmerz that tracks the inner and outer worlds of a confused teenage boy.
fresh," Why should second-rate scripting be a concern? Because Hedge can be ruthlessly entertaining when it wants to be, and that isn't nearly enough."
fresh," On a Gauge of 1 to 10, it's a terrific, triumphant 10 - one of the most ambitious, exciting animated features ever made."
rotten," Shattered. Broken. Cracked. Insert whichever pun you choose. Personally, this is one piece of glass I won't want to be looking at ever again."
fresh," There is much promise here from the young director, Greg Harrison."
fresh," The visuals in Atomic Blonde pop right off the screen. Leitch periodically zooms in for tight close-ups of the stunning Theron, who conveys a world of emotions with a subtle movement of the eyes."
rotten, Michael Haneke's run of making increasingly better films has come to an abrupt halt.
fresh, The intersection of three masters of their craft has resulted in a magnificent treatment on the perennial subject of lying for gain.
fresh," [A] smarter, sharper, funnier, wiser story than I ever could have expected... [I]t reinforces what we love about superheroes and why we embrace them... And yes, still, Megamind really is all about the villain."
fresh," Taken for what it is, a crowd-rousing summer blockbuster inspired by a children's mechanical toy, Michael Bay's Transformers is some kind of mess...terpiece."
fresh," An expertly paced, technically audacious thriller that's too knowing to be easily dismissed as a mere exercise."
fresh," Another mildly pleasant mix of malapropisms and pop culture references, diaper humor, snippets of rock classics, a little adventure, pleasant for the kids and not too painful for their parents."
fresh, Shows how a movie with no budget can still thrill.
fresh," The Devil Wears Prada is two films in one: a caustic, energetic satire of the fashion world and a cautionary melodrama."
fresh, ...lovely and slight
fresh," There are many echoes of Anderson's earlier films, particularly Rushmore and Tenenbaums. He's an unapologetic romantic and Moonrise Kingdom is a study in wish-fulfillment. "
rotten," [A] tepid, incompetent biopic."
fresh," ""The Rum Diary"" exudes a cheery, beery sense of warmth and affection."
fresh, Overall ... Buffalo Boys delivers on its initial promise of a thrilling tweak to familiar tropes.
fresh, Wheatley remains a master of infusing the mundane with overtones of dread.
fresh, There is nothing like this dame when she plays a queen. Judi Dench shines again in a surprising royally entertaining tale from the great Stephen Frears.
fresh, The Limehouse Golem is wildly over the top. That's precisely what it is meant to be - and what gives the drama such a kick.
rotten," It's a nice change of pace to find a sequel that doesn't merely try to remake the original, but Babe: Pig in the City lacks any of the original's endearing gentle spirit."
fresh," It is, of course, an ensemble piece and the entire cast brings it together with skill and style under Parker's skillful direction."
rotten, This 4th film in the saga directed by Bryan Singer is a big let down. [Full review in Spanish]
rotten," ...Bennett, a prolific character actress, deserves a much better starring vehicle than this."
fresh," ABSCAM comes alive in this stereotype drenched, pratfall ridden but entertaining story of good people lost in the American promise."
rotten," Spacey's wretched, agonizing, tone-deaf version of the Darin story."
rotten, Taking offense to a film about tolerance just because it's aimed squarely at Middle America is itself intolerant. Chuck and Larry's crime is it doesn't maintain its most audacious bits and it's never funny enough.
fresh, This year's Winter's Bone?
rotten, Is the fish fresh?...Shark Tale believes it can foist off high-speed energy in the place of wit.
rotten," Spike Lee's incendiary farce is too uneven to recommend, but its uncanny timing and sense of outrage are worth noting."
rotten," At one point, someone marvels at Calvin's sheer ""lust for life,"" and while Mr. Schroeder, no doubt, has a parallel fascination with his favorite comic strip, the film doesn't follow through."
fresh," The irony of Florence Foster Jenkins, the ghastly soprano, was that she was such a crowd-pleaser. Fittingly, so is the film."
rotten, A hollow fabrication in the pursuit of someone's sick idea of redemption. I didn't pay to see it... but I want my wasted time back.
fresh," A surprisingly enjoyable, fitfully entertaining romp for all the family, with a satisfying gag count."
fresh, Impactante justamente por evitar se concentrar nos poderosos que se encontram no topo da hierarquia da camorra.
rotten," [Downey] gives Iron Man 2 its fascination. The rest is a cluttered, clattering toy story."
rotten," Even a lively electronic score by M83, a bustling Imax presentation and Cruise at his most action-pic watchable can't make this inert film come to life."
rotten," Snowpiercer is leaden and confused, an all-star disaster of a movie, of interest only to connoisseurs of expensively botched sci-fi money-pits."
fresh," Offers a terrific role for Garcia, as a desperate man who keeps erasing and redrawing the boundaries of his conscience."
rotten, Kurt & Courtney wasn't well received upon its release and 20 years later it fares no better.
rotten, Will engage your little ones minimally while in the theaters but will leave them without any desire to get the DVD later in order to see it again.
rotten, A mediocre urban thriller.
rotten," Batman v Superman: Dawn of Justice will probably please those who just want to see their comic book heroes come to life in a visually stunning way, but it will frustrate anyone looking for substance."
fresh," With its sprung rhythms and pop sensibility, Wong Kar-wai's genuinely inspired pastiche of early Godard and late Hitchcock could be dismissed as another bit of stylishly pomo navel-gazing -- if it weren't so obviously about something."
rotten," The film becomes conventional, collapsing between an ocean of myths that do not matter to anyone, spliced with a few sequence of Indiana Jones-esq adventure. [Full Review in Spanish] "
rotten," Everyone needs love and a home, whether kids or animals, is the cheesy but entirely heartfelt message of this fairly predictable and old-fashioned kids' movie."
rotten," As with his last biopic, Pinero, director Leon Ichaso has a way of both dwelling on the most sensationalistic aspects of a genius' life while obscuring the importance and meaning of their work."
rotten, Nothing but one big chase scene...It plays as if robots even wrote the script -- and stupid robots at that.
rotten," It is a tired retread that offers little new or original, taking 007 to the one place he's arguably never been before: irrelevance."
fresh," Exhausting, in the visceral, adrenal way a good adventure should be. Comparing 'War of the Worlds' and this particular 'Kong,' Peter Jackson out-Spielbergs Steven Spielberg."
rotten," Although the material is lightweight, it is a cute, amusing film."
rotten, ...trickier than it appears - and far too tricky for first-time director Ben Affleck.
fresh," If we were to reduce all of world cinema to just a dozen images, Karina's perfect, pensive face would have to be among them."
rotten, Anyone except Young devotees may find this one a yawn-inducing experience.
fresh," Sparkling performances by McAdams, Ford, Keaton, and Goldblum, brilliantly directed by Michell from a terrific script by McKenna make for a thoroughly entertaining romcom."
fresh, The genius of the film lies in its combination of traditional Disney characters and situations with a very subversive storytelling style. 
rotten, Pretty long and unengaging...
fresh," Both Driver and Farahani draw us into this world of small stakes writ large, theirs a moving portrait of a living marriage, quirks and all."
rotten," It is quite impossible to set a film in the Paris catacombs and completely mess up the sense of grim, suffocating atmosphere... But do they come close."
fresh," ""Unstoppable"" is as good as its name. A runaway train drama that never slows down, it fashions familiarity into a virtue and shows why old-school professionalism never goes out of style."
fresh, Mean Girls does the 'wicked teen girl movie' subgenre justice.
fresh," It's a fine film, both as a music documentary and as a family story."
rotten," Although the sheer scale of this production is undeniably impressive, there's little grandeur or sweep to this would-be epic, which lacks both the visceral power and genuine pathos of Ridley Scott's Oscar winner Gladiator."
fresh," What we see is explosive, deeply moving and impossible to shake."
rotten," I left the theatre really and truly disappointed in THE PREDATOR. It ended up a bit of a shambling Frankenstein. Trying to serve too many masters, perhaps, and falling short of satisfying any of them."
fresh, Viewer patience gets rewarded with the meaningful twists in a powerful final act that lovingly defines what a real family is all about.
rotten," It's dull and conventional, turning a half-century of mischief into 80 minutes of yawns."
rotten," With only brief glimpses of a coherent film, Tale of Tales is a flat and overlong misfire."
rotten," There's a story of revenge here, along with some nods to the classic myths of Greek gods and goddesses, as well as a pretty spiffy concept for the Minotaur. Mostly, though, this is a bloodbath."
rotten," Sometimes keeping things as uncomplicated as possible can be an asset to a twisty, sparse thriller, but in the case of Transpecos that mindset is a major hindrance."
rotten, A picture in which every single element conspires to make it feel like a movie you rented one lonely Saturday night back in 1987 and immediately regretted.
fresh," Aside from his trademark visual style, Gilliam generally handles the chaos he depicts quite well, and he's come up with a marvelous cast."
fresh," Despite a recycled plot, and cop-out ending, film is a delightful charmer that works exceptionally well thanks to an endearing performance by Jennifer Garner."
rotten," Poorly written, poorly acted exercise in banality and studio greed."
rotten," Possibly the biggest, loudest, dumbest summer-movie opener in quite some time."
fresh," Through clever editing of many on camera and audio-only interviews, Walker is able to pull the audience back and forth, until no one is sure whether Daniel is telling the truth, or if he simply has grown to believe his own tall tales."
rotten," The movie is not only anti-capitalism but anti-society, and, indeed, anti-God."
rotten," This film, directed by Susanna Fogel, is a crass and vulgar spy caper with few admirable qualities, aside from the competent pairing of Kunis and McKinnon and one terrific laugh about the overwrought menu of a certain American restaurant chain. "
fresh," As before, it's a shameless mash-up of Poltergeist, Amityville etc, with added cattle-prod jumps."
fresh," This is real movie magic... We know they can create anything in CGI, make anything happen with tricky editing and the like. To actually take that out of an equation may not be obvious to everyone, but it registers."
rotten," Takes two steadfast horror tropes - demonic possession and the gimmick of ""found footage"" - and does very, very little new with them."
rotten," At any rate, with Spider-Man 3 hitting theaters next Thursday I don't need a crystal ball to foresee this one disappearing from theaters and hitting DVD in a matter of weeks."
fresh, Steve Carell and Tina Fey manage to be funny without ever seeming superior to the slipshod material.
rotten," For every joke that works, there are five that don't."
fresh, Justice for Dredd.
fresh, The real girls of Skate Kitchen make it work beautifully as a coming-of-age fictional film. The group's friendship and camaraderie translates naturally to the screen.
fresh," This movie is smarter and better acted and just plain funnier than most of its predecessors in the my-first-time genre, no matter which sex is losing what."
fresh," Una irresistible comedia romántica que desafía algunas convenciones del género, gracias a un tratamiento fresco y original, una deliciosa banda sonora y dos protagonistas perfectos."
fresh," Hopkins and Banderas are very different sorts of actors, and here, in very different ways, each pulls off his role expertly."
rotten," Beck ... is very good on volume but not much for tension, suspense or frightening anyone."
fresh," It's certainly more interested in ideas than characters, and the film stumbles when it makes half-hearted attempts at romantic intrigue or tragic backstories, but its subversive view of race, money and power in modern sports couldn't be more timely."
fresh," For The Post, the past is prologue. It's also a telling indictment of where we are today."
fresh," Prophecy and politics are intertwined in a realm where strange and beautiful imagery takes on dark meaning, and violence and male posturing rules all."
fresh," The film's a technical tour de force, with flawless stop-motion animation and some imaginatively realized live-action sequences. What's surprising here is how much of Dahl's misogyny is allowed to surface."
rotten," The action/competition scenes have some dynamism, but the overall look of the film is unimaginative."
rotten," Salman Khan may be a huge star, but this outdated comedy doesn't make the best of his abilities."
fresh, A wise film from head to toe. [Full Review in Spanish] 
rotten," If ""The Lord of the Rings"" was ancient legends sifted through the sensibility of an Oxford professor of Anglo-Saxon studies, then ""Thor: The Dark World"" is grand Norse myth run through the minds of 9-year-olds."
fresh," The most interesting aspects of this auto-biographical work in filmmaking terms is the storytelling style that Ari Folman has chosen, which enables him to show things like his dog nightmares as well as atrocities and violence in a way live action can not"
rotten," Even with the bar having been lowered by the vacuous, overblown prequels though, 'Clone Wars' takes things to crass new lows"
fresh, The supreme accomplishment in Mann's career.
fresh," It's nearly impossible to screw up a tale of friendship like this, with ""Belle and Sebastian"" hitting all the highlights of harmony and valor. Cute dog close-ups help too."
rotten," If it weren't for Streep, The Iron Lady would be unwatchable."
fresh, Mulholland Drive echoes with the ghosts of Hollywood past.
fresh," It is outstandingly watchable, superbly and casually pessimistic, a world of slot-mouthed professional and semi-professional criminals always complaining about cleaning up the mess made by other screwups."
rotten," She has too many exes. They should have stopped at four, because it just means these repetitive fights that are the same and they're all unbelievable and it becomes extremely tedious."
fresh," Nice looking and well acted, The Commune is afflicted by melodramatic tendencies that eventually overwhelm it. But there are rich dramatic moments, and Trine Dyrholm is exceptional."
rotten, Everyone involved with this film has something better than this on their resume.
fresh," We, as spectators, are witnesses of this freak-show of an unfortunate but talented redneck who had everything to win but who, in reality, was born to lose. (Review in Spanish)"
rotten," Seidl sternly rejects nuance. All the women are crude and insensitive, all the men are desperate and exploited."
rotten," While better than its predecessor, Beyond Skyline is still a sequel to a thinly conceived film, and even the freshest coat doesn't work to hide the issues underneath."
rotten," Too seldom clever, too often tiresomely busy, and wasteful of its voice cast, it's Hoodwinked that is the crime."
rotten," There are some laughs here, but not nearly enough to make this worth paying to see. (Full Content Review for Parents - Profanity, Nudity, Sex, etc. - also Available)"
rotten," The love triangle, which comes to overwhelm the second half, feels more like soap opera than anything else, and the able cast can't redeem DuVernay's often dreadful dialogue."
rotten," Can a video game turn a movie into a hit, man? Maybe. But that doesn't mean that ""Hitman"" is far removed from its video game origins."
fresh, Cyber-Seniors isn't just a window on an unlikely alliance of polar generations but also a celebration of discovery.
fresh," The questions posed by Hard Candy may not be as profound as the filmmakers believe, but they are enough to keep us thinking for the length of a movie that deftly uses exploitation to explore exploitation."
fresh, The actors keep the film from becoming too stupid
rotten, REALLY smart people will probably wait for the DVD release.
fresh," The visuals are gorgeous. The mood is unsettling from start to finish. ""Annihilation"" is a strong sophomore effort from a very talented filmmaker."
fresh," However fanciful the happy endings are (and there must always be happy endings in this type of production), thanks to McDormand and a sweet, snappy script we believe and celebrate every moment of them."
rotten," To properly convey the jaw-dropping shoddiness of this videogame-based 'horror' 'movie,' one must approach what scientists call Absolute Stupid."
fresh," A small, strangely sweet tale well told. But this is all about Mol, who puts in a performance that gives her a very early lead on next year's Oscar race."
rotten," Ships, planes and water combust and collide in Pearl Harbor, but nothing else does in one of the wimpiest wartime romances ever filmed."
rotten, Press the delete key.
rotten, Even an actress as good as Bisset can't do anything when her scene partner is so absent and the script is so one-dimensional.
fresh," It's when the investigation sorts out the knowable (what happened?) and then moves into the unknowable (why?) that ""Elah"" moves beyond genre and becomes one of the year's best films."
fresh, The film is both delicate and unforgettable.
rotten," As a result, Deep Impact seems mildly engaging, but, well, rather shallow."
fresh," The resounding message of ""drop what you're doing and get involved!"" is hardly original, but there are certainly points to be taken from all fronts."
rotten," There are half a dozen good laughs in ""Ride Along,"" but the movie could have used a few more, and a plot."
fresh," The film isn't always subtle, but a broad brush sometimes leaves behind a big, beautiful swath of color."
fresh, A good and decent film in a world that rather heartlessly demands more.
rotten," The picture has a knockabout charm, thanks to the actors; but its premise seems flawed."
fresh," It's an incisive portrait of a particular society, but it should resonate everywhere."
fresh," For all its lapses in grace and pacing, The Heartbreak Kid somehow manages to wear away resistance with the simple charms exhibited by its cast, including Akerman, whose sportsmanship is above and beyond the call of duty."
fresh, Very nice piece of work.
rotten, Though high-minded and well-intentioned - as well as being conceived on an epic scale - there's something faintly stodgy and safety-first about the endeavour.
rotten, When the sex is as boring as the story and the characters which inhabit it... all we can do is rejoice the entire endeavor is over fairly quickly.
rotten," To call this misty, low-risk collection of calculated revelations a high-toned The Bucket List would be a disservice to Rob Reiner."
fresh," It is filled with neurotic people in greasepaint, some charming, most amusing, and by the time you've spent an hour and a half with them, you're more than invested in their lives and cares."
rotten, Robin Williams and Billy Crystal can each provoke a lot more laughs in a minute of standup than they jointly manage during the entire running time of Fathers' Day.
fresh," With its never-seen footage and lots of great music, it can't help but be hugely entertaining."
rotten," Even blessed with an all-access pass, ShowBusiness is incapable of being considered anything besides a hooray-for-Broadway memento."
rotten," This is the kind of film you go to for only one reason: you're a teenager, you're on a date, and you're ready for an excuse to grip someone tightly."
rotten, McQueen always uses film pretentiously. Widows belongs to his edgy genre of queasy art projects masquerading as movies. 
rotten, Part of it delivers knock-out images and exquisite camerawork. The other part is just one big fish story.
rotten, Suffice to say this is so unengaging that you will find yourself rooting for the sharks and the jellyfish. 
fresh," Edgy Barrymore romcom has lots of sex, language."
fresh," Persistence has finally paid off with this frequently rebooted franchise - not only is this one of the most enjoyable ""Spider-Man"" movies to hit the big screen, it's one of the most dazzling animations of the year."
rotten," A sadistic, religiose French horror movie."
rotten," Cameron has fared better than most in wedding cutting-edge special effects with ... genre storytelling, but Avatar, his supremely goofy science-fiction/action spectacular, finds him lost in a $250 million aquamarine light show."
fresh," Gonzo, psychotic and deranged. And those are the best parts. "
rotten," Even Jim Carrey, whose mere presence can often liven up a film lacking in luster, can't save the almighty turkey that is ""Bruce Almighty."""
fresh," Stirring documentary about an unlikely politician, one who puts principles above personal gain."
rotten," Only the dog has a clue about when the ""Devil's Due."""
rotten," Meanwhile, explanations are offered, buildings collapse on themselves, DiCaprio frets moodily, henchmen fall over and that white van keeps falling off that bridge ... It's all very beautiful, and mostly very empty."
rotten," There are laughs, sure, with Brooks' unabashed moocher coming up with many of the film's best lines... but the overall results are distinctly patchy and at 133 minutes, the film is at least half an hour too long."
rotten," A tell-all chronicle about how this movie came into existence might be more compelling than the film itself, and require angry denials from authorities in response."
rotten, It seriously boggles the mind that Assassin's Creed can assemble so much talent and yet achieve so very little.
fresh," In the end, it's perhaps Mother Nature that gives the best performance; she's never been more majestic on film."
rotten, The very existence of this film illustrates barrel-scraping desperation of the Hollywood kind.
rotten," The storyline becomes pretty tedious, thanks to an incredibly slow beginning and a scenario based entirely on running around in circles to get away from the undead."
fresh," Filled with compelling, old-school thrills."
